Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-C.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
32.34	594.5
32.36	591.5
32.38	647.25
32.4	647.5
32.42	672.5
32.44	697
32.46	695.75
32.48	687.25
32.5	643
32.52	624
32.54	614
32.56	595.5
32.58	574
32.6	563.5
32.62	539.25
32.64	541.25
32.66	525.75
32.68	509
32.7	491.75
32.72	528.75
32.74	534
32.76	537.25
32.78	536
32.8	526.75
32.82	550
32.84	579.5
32.86	562.5
32.88	600
32.9	609
32.92	613
32.94	608.5
32.96	602.25
32.98	621
33	582.75
33.02	592
33.04	571
33.06	564
33.08	560.5
33.1	554.75
33.12	542.75
33.14	533.75
33.16	548
33.18	551.5
33.2	526.75
33.22	541
33.24	531.5
33.26	526.75
33.28	547.5
33.3	529.25
33.32	530.25
33.34	515
33.36	529.75
33.38	540.5
33.4	514.5
33.42	542.75
33.44	530.5
33.46	541
33.48	541.75
33.5	540.5
33.52	553.75
33.54	556.5
33.56	545.25
33.58	559.25
33.6	552
33.62	531.25
33.64	546.25
33.66	534.25
33.68	527.25
33.7	536
33.72	542.5
33.74	546.25
33.76	537.75
33.78	551.75
33.8	550.75
33.82	534.25
33.84	544.75
33.86	527.5
33.88	533
33.9	533.25
33.92	550
33.94	544.25
33.96	536.75
33.98	529.25
34	519.75
34.02	526.5
34.04	527.5
34.06	532.75
34.08	519.25
34.1	514.75
34.12	543.5
34.14	522.25
34.16	518
34.18	517
34.2	510
34.22	521.25
34.24	506.5
34.26	518.5
34.28	541.5
34.3	534
34.32	550.25
34.34	540.5
34.36	560.25
34.38	546.25
34.4	557.75
34.42	589
34.44	595.25
34.46	624.75
34.48	637
34.5	647
34.52	623.25
34.54	653.25
34.56	685
34.58	651.75
34.6	694.25
34.62	692.75
34.64	688.25
34.66	728.75
34.68	713.75
34.7	674
34.72	692.25
34.74	676.5
34.76	687
34.78	680.25
34.8	696.25
34.82	695.5
34.84	728.5
34.86	718.75
34.88	735.5
34.9	762.75
34.92	754.5
34.94	767.5
34.96	811.75
34.98	823.5
35	809
35.02	815
35.04	827.75
35.06	826
35.08	812.5
35.1	782.25
35.12	758.5
35.14	758
35.16	733
35.18	751.25
35.2	697
35.22	676.75
35.24	654.75
35.26	664.75
35.28	670.5
35.3	625
35.32	669.75
35.34	633.75
35.36	664
35.38	674.25
35.4	680.25
35.42	726.75
35.44	744.5
35.46	793.5
35.48	817
35.5	876
35.52	878
35.54	872
35.56	856.25
