Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\2M1-std2.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
40.04	687.5
40.06	712.75
40.08	748.25
40.1	764.5
40.12	779.5
40.14	784.25
40.16	819
40.18	875.5
40.2	846.25
40.22	861.25
40.24	862.5
40.26	858.5
40.28	877.25
40.3	885.25
40.32	865.5
40.34	873.5
40.36	834.75
40.38	885.5
40.4	849.75
40.42	844
40.44	844.25
40.46	799.5
40.48	823
40.5	811.25
40.52	798.25
40.54	791.25
40.56	772.75
40.58	786.75
40.6	804.5
40.62	776.5
40.64	766
40.66	743.75
40.68	752
40.7	747.25
40.72	750.75
40.74	800.75
40.76	775
40.78	797.5
40.8	829.5
40.82	817.25
40.84	842.75
40.86	830.5
40.88	869.25
40.9	876.5
40.92	885.5
40.94	888.25
40.96	909.25
40.98	881.5
41	854.75
41.02	883.75
41.04	868.25
41.06	879.75
41.08	863.25
41.1	837
41.12	833.25
41.14	822.75
41.16	837.5
41.18	829.25
41.2	792
41.22	800
41.24	800.75
41.26	806.5
41.28	793.5
41.3	767.5
41.32	810.5
41.34	773.75
41.36	791.5
41.38	782.75
41.4	788.75
41.42	783.5
41.44	801.5
41.46	791.5
41.48	808
41.5	775.75
41.52	764
41.54	775.25
41.56	776.25
41.58	760
41.6	747.25
41.62	731.25
41.64	726.25
41.66	716.25
41.68	694
41.7	705.25
41.72	680.75
41.74	702.5
41.76	679.75
41.78	669.25
41.8	662.25
41.82	669.5
41.84	691.75
41.86	686.25
41.88	692.5
41.9	720
41.92	711.25
41.94	719.75
41.96	715.25
41.98	767.25
42	772.25
42.02	782
42.04	784.25
42.06	824.25
42.08	818.25
42.1	856.75
42.12	857.75
42.14	903
42.16	922.75
42.18	911.25
42.2	922
42.22	963
42.24	921.25
42.26	959.75
42.28	952.5
42.3	954.25
42.32	954
42.34	964
42.36	954.5
42.38	992.5
42.4	988
42.42	1017.75
42.44	1009.75
42.46	1005
42.48	1025.75
42.5	1045.75
42.52	1061.25
42.54	1064.5
42.56	1092.75
42.58	1069.5
42.6	1042.5
42.62	1038.25
42.64	1033.25
42.66	1012.25
42.68	974.5
42.7	979.75
42.72	922.5
42.74	890
42.76	860
42.78	809.5
42.8	789.25
42.82	764.25
42.84	772
42.86	696.75
42.88	689.75
42.9	663.75
42.92	667
42.94	641
42.96	617
42.98	624
43	632.5
43.02	596.25
43.04	620.5
43.06	570
43.08	605.25
43.1	585.5
43.12	597.75
43.14	579.75
43.16	585.75
43.18	566.25
43.2	559.25
43.22	547.75
43.24	558.5
43.26	553.75
43.28	567.25
43.3	561.25
43.32	564.25
43.34	553.25
43.36	559.25
43.38	561
43.4	539.25
43.42	539.25
43.44	542.5
43.46	526.25
43.48	544
43.5	559.25
43.52	574.75
43.54	543
43.56	539.25
43.58	546.25
43.6	577.75
43.62	560
43.64	567.75
43.66	573.5
43.68	574.5
43.7	559.75
43.72	577.5
43.74	591.75
43.76	592
43.78	576.25
43.8	591.25
43.82	604.75
43.84	610
43.86	618
43.88	617.25
43.9	599
43.92	615.5
43.94	605
43.96	582.25
43.98	623
44	606
