Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-M.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
34.42	1212.75
34.44	1243.25
34.46	1286.5
34.48	1300.5
34.5	1324.75
34.52	1336.5
34.54	1372
34.56	1368.5
34.58	1403.5
34.6	1438.25
34.62	1425.5
34.64	1423.5
34.66	1438
34.68	1419
34.7	1456.75
34.72	1455
34.74	1440.5
34.76	1456.25
34.78	1471.75
34.8	1509
34.82	1542
34.84	1551.75
34.86	1600.5
34.88	1625.25
34.9	1694
34.92	1698.5
34.94	1713.75
34.96	1715.75
34.98	1738.75
35	1713.5
35.02	1713
35.04	1710
35.06	1646.5
35.08	1606.5
35.1	1520.5
35.12	1533.25
35.14	1476.25
35.16	1434
35.18	1369.25
35.2	1332.25
35.22	1299
35.24	1242
35.26	1234.75
35.28	1185.25
35.3	1193.5
35.32	1183.25
35.34	1182.75
35.36	1189.25
35.38	1189.5
35.4	1174.5
35.42	1185.5
35.44	1188
35.46	1178.25
35.48	1196.25
35.5	1177.75
35.52	1141
35.54	1143.25
35.56	1141
35.58	1097.25
35.6	1092
35.62	1073.5
35.64	1074.75
35.66	1039.5
35.68	1064
35.7	1060.25
35.72	1020.25
35.74	1061.75
35.76	1061.5
35.78	1090.25
35.8	1085.75
35.82	1100.25
35.84	1146.75
35.86	1145
35.88	1169.25
35.9	1199.25
35.92	1265.5
35.94	1291
35.96	1332.5
35.98	1321.25
36	1345.5
36.02	1365.25
36.04	1334.5
36.06	1330.25
36.08	1296
36.1	1278
36.12	1267.25
36.14	1213.75
36.16	1196.5
36.18	1178.25
36.2	1121.75
36.22	1147.5
36.24	1118.25
36.26	1121.75
36.28	1099.75
36.3	1136
36.32	1115.5
36.34	1116
36.36	1174
36.38	1174.25
36.4	1198.75
36.42	1240.75
36.44	1271.5
36.46	1298.5
36.48	1350.75
36.5	1344.75
36.52	1395.25
36.54	1364
36.56	1403.25
36.58	1397
36.6	1356.5
36.62	1332.5
36.64	1330.5
36.66	1289
36.68	1238.75
36.7	1205.25
36.72	1201.5
36.74	1181.25
36.76	1149
36.78	1118.75
36.8	1158
36.82	1151.5
36.84	1101.5
36.86	1126.5
36.88	1101.25
36.9	1113
36.92	1079.5
36.94	1074
36.96	1097.75
36.98	1054.25
37	1046.25
37.02	1034.5
37.04	1035.5
37.06	1022
37.08	1064
37.1	1087.75
37.12	1071.5
37.14	1066.5
37.16	1057.25
37.18	1053.5
37.2	1078.5
37.22	1081.25
37.24	1064.75
37.26	1052
37.28	1125
37.3	1121
37.32	1118.75
37.34	1086.25
37.36	1124
37.38	1116.25
37.4	1090.75
37.42	1141
37.44	1158.25
37.46	1211.75
37.48	1204.25
37.5	1215.75
37.52	1204
37.54	1210.5
37.56	1207.25
37.58	1244
37.6	1218.25
37.62	1291.25
37.64	1233.75
37.66	1261
37.68	1247.25
37.7	1266.5
37.72	1277.25
37.74	1264.5
37.76	1249
37.78	1245.25
37.8	1201.25
37.82	1193.5
37.84	1170.75
37.86	1155.75
37.88	1170.5
37.9	1109.5
37.92	1145.5
37.94	1107.75
37.96	1094
37.98	1076.75
38	1052.5
38.02	1069.25
38.04	1075
38.06	1025
38.08	1046.25
38.1	1036.75
38.12	1035.5
38.14	1017
38.16	1008.5
38.18	1006.75
38.2	987.25
38.22	1000.5
38.24	954.5
38.26	946.75
38.28	937
38.3	947
38.32	937.75
38.34	935.75
38.36	925.75
38.38	930
38.4	900.75
38.42	949.5
38.44	927
38.46	863.5
38.48	914.75
38.5	885.75
38.52	887.5
38.54	922.5
38.56	909.75
38.58	892
38.6	884
38.62	901.25
38.64	904.5
38.66	915.5
38.68	926.5
38.7	917.25
38.72	942.25
38.74	937
38.76	988.25
38.78	963.5
38.8	965
38.82	941.25
38.84	950.25
38.86	961.5
38.88	960
38.9	965.75
38.92	942.75
38.94	962.75
38.96	916
38.98	943.5
39	913.75
39.02	915
39.04	915.75
39.06	911.25
39.08	909
39.1	922
39.12	916.5
39.14	922.5
39.16	977.75
39.18	975.5
39.2	977.25
39.22	1009.5
39.24	1017.25
39.26	1028.5
39.28	1091.25
39.3	1138.75
39.32	1198.25
39.34	1264
39.36	1301.5
39.38	1408.25
39.4	1478.25
39.42	1517
39.44	1524.25
39.46	1549.25
39.48	1566.5
39.5	1519
39.52	1452.25
39.54	1447.75
39.56	1341
39.58	1283.25
39.6	1224.25
39.62	1198.5
39.64	1114
39.66	1065.25
39.68	1044.5
39.7	1008.25
39.72	1006
39.74	984.25
39.76	988
39.78	989.5
39.8	999
39.82	989
39.84	978.5
39.86	1015
39.88	984.5
39.9	990.5
39.92	1007
39.94	1028.75
39.96	983.75
39.98	1022
40	1024
40.02	1015
40.04	1030.25
40.06	1032.25
40.08	1018
40.1	1040.75
40.12	1031.5
40.14	1040.75
40.16	1042
40.18	1085.25
40.2	1079
40.22	1064.75
40.24	1078
40.26	1088
40.28	1043.5
40.3	1071.25
40.32	1104.25
40.34	1073
40.36	1063
40.38	1074
40.4	1008.75
40.42	988
40.44	987.5
40.46	993.25
40.48	994.25
40.5	947.75
40.52	954
40.54	978
40.56	986
40.58	991.5
40.6	986.75
40.62	984.5
40.64	985.75
40.66	1007.5
40.68	1007.75
40.7	1033
40.72	1018.5
40.74	1016.25
40.76	1017.5
40.78	998.25
40.8	1027.5
40.82	1021.75
40.84	1034
40.86	1045
40.88	1031.75
40.9	1016.25
40.92	1015
40.94	1030.75
40.96	1031
40.98	1064
41	1016.5
41.02	1040.75
41.04	1013.25
41.06	1020.75
41.08	1047
41.1	1013.75
41.12	1030.75
41.14	1028.75
41.16	1015.25
41.18	1034.5
41.2	1012.75
41.22	1006.5
41.24	1005
41.26	996
41.28	1011.25
41.3	987.75
41.32	972.75
41.34	932.25
41.36	956.75
41.38	948
41.4	969.5
41.42	936
41.44	940.75
41.46	909.25
41.48	921
41.5	917
41.52	926.25
41.54	912.75
41.56	924.25
41.58	912.5
41.6	914.75
41.62	922
41.64	917.25
41.66	926.25
41.68	912
41.7	906.25
41.72	921.75
41.74	908.25
41.76	946.25
41.78	930
41.8	956.75
41.82	945
41.84	958.25
41.86	969
41.88	960
41.9	986
41.92	967.5
41.94	974.5
41.96	983
41.98	1001
42	983.5
42.02	1010.5
42.04	980.75
42.06	1016.75
42.08	998.75
42.1	1012.75
42.12	1030.25
42.14	1033
42.16	1041.25
42.18	1043.25
42.2	1052.75
42.22	1061.5
42.24	1060.5
42.26	1089
42.28	1118.5
42.3	1110.25
42.32	1153.5
42.34	1174.75
42.36	1157.25
42.38	1202
42.4	1250.5
42.42	1207.75
42.44	1234
42.46	1231
42.48	1246
42.5	1184.75
42.52	1178.25
42.54	1170.25
42.56	1118.5
42.58	1108.75
42.6	1102
42.62	1077.75
42.64	1052
42.66	1099.5
42.68	1042.75
42.7	1040.5
42.72	1020
42.74	1027
42.76	1004
42.78	1010.25
42.8	985.25
42.82	975.5
42.84	941
42.86	945.5
42.88	968.75
42.9	925.5
42.92	937.75
42.94	945
42.96	946
42.98	1002.75
43	965.5
43.02	1020
43.04	1055.25
43.06	1060
43.08	1092.5
43.1	1128
43.12	1180.25
43.14	1236.75
43.16	1227.75
43.18	1278.25
43.2	1239.25
43.22	1235
43.24	1255
43.26	1225.75
