Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
156,1125.00,0.001,-7.192,12.0689,3.2486,49.3684,1.3878,4.7295,3.7564,0.0000,4.0776,0.0000,16.3656,0.0000,0.0000,20.0155,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-193.555,-154.758,27.749,3.715,14.253,0.481598,0.189108,0.125547,0.078324,-0.001475,0.105546,0.021352
157,1124.00,0.001,-7.204,12.2512,3.2488,49.3608,1.4014,4.7292,3.7508,0.0000,4.0673,0.0000,16.3560,0.0000,0.0000,20.0340,0.3006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-196.461,-157.122,28.156,3.771,14.467,0.482418,0.188254,0.125234,0.078719,-0.001117,0.105034,0.021458
158,1123.00,0.001,-7.217,12.4268,3.2490,49.3533,1.4148,4.7288,3.7452,0.0000,4.0573,0.0000,16.3464,0.0000,0.0000,20.0523,0.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-199.258,-159.401,28.548,3.825,14.672,0.483226,0.187411,0.124928,0.079108,-0.000764,0.104529,0.021562
159,1122.00,0.001,-7.229,12.5960,3.2492,49.3459,1.4279,4.7284,3.7396,0.0000,4.0475,0.0000,16.3369,0.0000,0.0000,20.0703,0.3035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-201.950,-161.597,28.924,3.877,14.870,0.484024,0.186580,0.124629,0.079491,-0.000418,0.104031,0.021664
160,1121.00,0.001,-7.242,12.7590,3.2494,49.3387,1.4408,4.7280,3.7341,0.0000,4.0379,0.0000,16.3275,0.0000,0.0000,20.0882,0.3049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-204.544,-163.715,29.286,3.927,15.060,0.484811,0.185758,0.124336,0.079869,-0.000078,0.103540,0.021765
161,1120.00,0.001,-7.254,12.9162,3.2496,49.3316,1.4536,4.7276,3.7285,0.0000,4.0285,0.0000,16.3181,0.0000,0.0000,20.1058,0.3062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-207.042,-165.758,29.634,3.975,15.244,0.485588,0.184947,0.124050,0.080242,0.000255,0.103055,0.021863
162,1120.00,0.001,-7.254,12.9162,3.2496,49.3316,1.4536,4.7276,3.7285,0.0000,4.0285,0.0000,16.3181,0.0000,0.0000,20.1058,0.3062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-207.042,-165.758,29.634,3.975,15.244,0.485588,0.184947,0.124050,0.080242,0.000255,0.103055,0.021863
163,1121.00,0.001,-7.242,12.7590,3.2494,49.3387,1.4408,4.7280,3.7341,0.0000,4.0379,0.0000,16.3275,0.0000,0.0000,20.0882,0.3049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-204.544,-163.715,29.286,3.927,15.060,0.484811,0.185758,0.124336,0.079869,-0.000078,0.103540,0.021765
164,1122.00,0.001,-7.229,12.5960,3.2492,49.3459,1.4279,4.7284,3.7396,0.0000,4.0475,0.0000,16.3369,0.0000,0.0000,20.0703,0.3035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-201.950,-161.597,28.924,3.877,14.870,0.484024,0.186580,0.124629,0.079491,-0.000418,0.104031,0.021664
165,1123.00,0.001,-7.217,12.4268,3.2490,49.3533,1.4148,4.7288,3.7452,0.0000,4.0573,0.0000,16.3464,0.0000,0.0000,20.0523,0.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-199.258,-159.401,28.548,3.825,14.672,0.483226,0.187411,0.124928,0.079108,-0.000764,0.104529,0.021562
166,1124.00,0.001,-7.204,12.2512,3.2488,49.3608,1.4014,4.7292,3.7508,0.0000,4.0673,0.0000,16.3560,0.0000,0.0000,20.0340,0.3006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-196.461,-157.122,28.156,3.771,14.467,0.482418,0.188254,0.125234,0.078719,-0.001117,0.105034,0.021458
167,1125.00,0.001,-7.192,12.0689,3.2486,49.3684,1.3878,4.7295,3.7564,0.0000,4.0776,0.0000,16.3656,0.0000,0.0000,20.0155,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-193.555,-154.758,27.749,3.715,14.253,0.481598,0.189108,0.125547,0.078324,-0.001475,0.105546,0.021352
168,1125.00,0.001,-7.192,12.0689,3.2486,49.3684,1.3878,4.7295,3.7564,0.0000,4.0776,0.0000,16.3656,0.0000,0.0000,20.0155,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-193.555,-154.758,27.749,3.715,14.253,0.481598,0.189108,0.125547,0.078324,-0.001475,0.105546,0.021352
169,1126.00,0.001,-7.179,11.8794,3.2484,49.3762,1.3740,4.7299,3.7620,0.0000,4.0881,0.0000,16.3754,0.0000,0.0000,19.9968,0.2976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-190.536,-152.303,27.325,3.657,14.032,0.480768,0.189973,0.125868,0.077924,-0.001841,0.106065,0.021243
170,1127.00,0.001,-7.167,11.6826,3.2482,49.3842,1.3600,4.7302,3.7677,0.0000,4.0988,0.0000,16.3853,0.0000,0.0000,19.9778,0.2961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-187.396,-149.754,26.884,3.597,13.801,0.479925,0.190850,0.126196,0.077516,-0.002212,0.106591,0.021133
171,1128.00,0.001,-7.154,11.4779,3.2480,49.3923,1.3457,4.7304,3.7734,0.0000,4.1098,0.0000,16.3953,0.0000,0.0000,19.9585,0.2945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-184.131,-147.106,26.424,3.534,13.561,0.479071,0.191740,0.126531,0.077103,-0.002591,0.107125,0.021021
172,1128.00,0.001,-7.154,11.4779,3.2480,49.3923,1.3457,4.7304,3.7734,0.0000,4.1098,0.0000,16.3953,0.0000,0.0000,19.9585,0.2945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-184.131,-147.106,26.424,3.534,13.561,0.479071,0.191740,0.126531,0.077103,-0.002591,0.107125,0.021021
173,1127.00,0.001,-7.167,11.6826,3.2482,49.3842,1.3600,4.7302,3.7677,0.0000,4.0988,0.0000,16.3853,0.0000,0.0000,19.9778,0.2961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-187.396,-149.754,26.884,3.597,13.801,0.479925,0.190850,0.126196,0.077516,-0.002212,0.106591,0.021133
174,1126.00,0.001,-7.179,11.8794,3.2484,49.3762,1.3740,4.7299,3.7620,0.0000,4.0881,0.0000,16.3754,0.0000,0.0000,19.9968,0.2976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-190.536,-152.303,27.325,3.657,14.032,0.480768,0.189973,0.125868,0.077924,-0.001841,0.106065,0.021243
175,1125.00,0.001,-7.192,12.0689,3.2486,49.3684,1.3878,4.7295,3.7564,0.0000,4.0776,0.0000,16.3656,0.0000,0.0000,20.0155,0.2991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-193.555,-154.758,27.749,3.715,14.253,0.481598,0.189108,0.125547,0.078324,-0.001475,0.105546,0.021352
176,1124.00,0.001,-7.204,12.2512,3.2488,49.3608,1.4014,4.7292,3.7508,0.0000,4.0673,0.0000,16.3560,0.0000,0.0000,20.0340,0.3006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-196.461,-157.122,28.156,3.771,14.467,0.482418,0.188254,0.125234,0.078719,-0.001117,0.105034,0.021458
177,1123.00,0.001,-7.217,12.4268,3.2490,49.3533,1.4148,4.7288,3.7452,0.0000,4.0573,0.0000,16.3464,0.0000,0.0000,20.0523,0.3020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-199.258,-159.401,28.548,3.825,14.672,0.483226,0.187411,0.124928,0.079108,-0.000764,0.104529,0.021562
