Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
120,1158.00,0.001,-6.789,16.7734,2.6491,51.0098,0.0000,31.3429,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.9557,3.5068,0.1848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-290.346,-232.007,40.763,6.332,20.625,0.309236,0.680044,0.010720
121,1157.00,0.001,-6.800,17.3053,2.6484,51.1043,0.0000,31.2785,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8806,3.5486,0.1881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-299.510,-239.369,42.053,6.534,21.278,0.312853,0.676238,0.010909
122,1156.00,0.001,-6.812,17.8309,2.6478,51.1979,0.0000,31.2146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.8061,3.5900,0.1914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-308.564,-246.643,43.327,6.734,21.923,0.316433,0.672467,0.011100
123,1155.00,0.001,-6.824,18.3502,2.6471,51.2907,0.0000,31.1514,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.7322,3.6309,0.1948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-317.506,-253.832,44.585,6.932,22.561,0.319974,0.668731,0.011295
124,1154.00,0.001,-6.836,18.8633,2.6464,51.3826,0.0000,31.0887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.6590,3.6714,0.1983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-326.336,-260.934,45.827,7.128,23.190,0.323475,0.665032,0.011493
125,1153.00,0.001,-6.848,19.3700,2.6457,51.4737,0.0000,31.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5866,3.7114,0.2018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-335.055,-267.949,47.054,7.321,23.812,0.326937,0.661369,0.011694
126,1152.00,0.001,-6.860,19.8705,2.6451,51.5638,0.0000,30.9651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.5148,3.7510,0.2053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-343.663,-274.877,48.266,7.512,24.426,0.330358,0.657745,0.011898
127,1151.00,0.001,-6.872,20.3647,2.6444,51.6529,0.0000,30.9042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.4438,3.7901,0.2089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-352.159,-281.719,49.461,7.701,25.033,0.333737,0.654158,0.012105
128,1150.00,0.001,-6.885,20.8526,2.6438,51.7412,0.0000,30.8440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3735,3.8288,0.2126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-360.544,-288.475,50.641,7.887,25.631,0.337075,0.650611,0.012314
129,1150.00,0.001,-6.885,20.8526,2.6438,51.7412,0.0000,30.8440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.3735,3.8288,0.2126,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-360.544,-288.475,50.641,7.887,25.631,0.337075,0.650611,0.012314
