0: 15D-TMTE-TiO2,1:15D-ILM-TiO2,2:15D-Temps,3:15D-NNO,4:21A-TMTE-TiO2,5:21A-ILM-TiO2,6:21A-temps,7:21A-NNO,8:19i-TMTE-TiO2,9:19i-ILM_bottom-TiO2,10:19i-ILM_top-TiO2,11:19i-temps_bottom,12:19i-NNO_bottom,13:19i-temps_top,14:19i-NNO_top,15:3D-TMTE-TiO2,16:3D-ILM-TiO2,17:3D-temps,18:3D-NNO,19:21F-TMTE-TiO2,20:21F-ILM-TiO2,21:21F-temps,22:21F-NNO,23:19G-TMTE,24:19G-ILM,25:19G-Temps,26:19G-NNO,27:19H-TMTE31,28:19H-TMTE32,29:19H-ILM,230:19H-31-temps,31:19H-31-NNO,32:19H-32-temps,33:19H-32-NNO,34:15D-TMTE-TiO2,35:15D-ILM-TiO2
0.00,0.00,0,0.00,0.00,0.00,786.9046817,0.375044627,0.00,0.00,0.00,0,0,808.3465888,0.684709744,0.00,0.00,789.1130497,0.464624703,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.57,0.00
0.00,0.00,0,0.00,0.00,0.00,791.0676195,0.362264889,0.00,0.00,0.00,0,0,803.5443135,0.701227201,0.00,0.00,789.6457337,0.468391793,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,7.96,0.00
0.00,0.00,0,0.00,0.00,0.00,790.6164367,0.369340215,0.00,0.00,0.00,0,0,815.2384775,0.669206664,0.00,0.00,791.5885612,0.459286622,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.46,0.00
0.00,0.00,0,0.00,0.00,0.00,790.6852415,0.371135592,0.00,0.00,0.00,0,0,803.0716927,0.697758677,0.00,0.00,786.3357949,0.480110838,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.42,0.00
0.00,0.00,0,0.00,0.00,0.00,790.6105639,0.362258733,0.00,0.00,0.00,0,0,802.9789937,0.705530337,0.00,0.00,790.4171455,0.464331863,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.49,0.00
0.00,0.00,0,0.00,0.00,0.00,781.6415412,0.390292836,0.00,0.00,0.00,0,0,809.2579901,0.680430387,0.00,0.00,789.8589904,0.462957889,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.42,0.00
0.00,0.00,0,0.00,0.00,0.00,793.9441384,0.358675547,0.00,0.00,0.00,0,0,801.0372219,0.711504857,0.00,0.00,792.2954033,0.453399441,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.34,0.00
0.00,0.00,0,0.00,0.00,0.00,789.5563495,0.371496781,0.00,0.00,0.00,0,0,802.2153418,0.704409494,0.00,0.00,791.6742211,0.455102558,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.27,0.00
0.00,0.00,0,0.00,0.00,0.00,794.2254909,0.354934527,0.00,0.00,0.00,0,0,809.3888874,0.677301162,0.00,0.00,792.0561952,0.462296955,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.40,0.00
0.00,0.00,0,0.00,0.00,0.00,771.9819071,0.356305153,0.00,0.00,0.00,0,0,805.0939378,0.696644473,0.00,0.00,785.9395718,0.475671717,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.37,0.00
0.00,0.00,0,0.00,0.00,0.00,779.4838392,0.339522054,0.00,0.00,0.00,0,0,800.7669384,0.705777423,0.00,0.00,793.2461962,0.447014697,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.21,0.00
